table_name,dimension,record_id
purchase_orders,completeness,PO000489
purchase_orders,completeness,PO000500
purchase_orders,completeness,PO000577
purchase_orders,completeness,PO000580
purchase_orders,completeness,PO000612
purchase_orders,completeness,PO000630
purchase_orders,completeness,PO000734
purchase_orders,completeness,PO000790
purchase_orders,completeness,PO000834
purchase_orders,completeness,PO000840
purchase_orders,completeness,PO000875
purchase_orders,completeness,PO000876
purchase_orders,completeness,PO000977
purchase_orders,completeness,PO000987
purchase_orders,completeness,PO000988
purchase_orders,completeness,PO000997
purchase_orders,completeness,PO001020
purchase_orders,completeness,PO001037
purchase_orders,completeness,PO001118
purchase_orders,completeness,PO001124
purchase_orders,completeness,PO001172
purchase_orders,completeness,PO001270
purchase_orders,completeness,PO001303
purchase_orders,completeness,PO001326
purchase_orders,completeness,PO001327
purchase_orders,completeness,PO001336
purchase_orders,completeness,PO001366
purchase_orders,completeness,PO001645
purchase_orders,completeness,PO001648
purchase_orders,completeness,PO001784
purchase_orders,completeness,PO001816
purchase_orders,completeness,PO001834
purchase_orders,completeness,PO001937
purchase_orders,completeness,PO001948
purchase_orders,completeness,PO001966
purchase_orders,completeness,PO001984
purchase_orders,completeness,PO002006
purchase_orders,completeness,PO002032
purchase_orders,completeness,PO002038
purchase_orders,completeness,PO002209
purchase_orders,completeness,PO002254
purchase_orders,completeness,PO002281
purchase_orders,completeness,PO002430
purchase_orders,completeness,PO002469
purchase_orders,completeness,PO002567
purchase_orders,completeness,PO002616
purchase_orders,completeness,PO002640
purchase_orders,completeness,PO002758
purchase_orders,completeness,PO002942
purchase_orders,completeness,PO002990
purchase_orders,completeness,PO002995
purchase_orders,completeness,PO000004
purchase_orders,completeness,PO000070
purchase_orders,completeness,PO000106
purchase_orders,completeness,PO000192
purchase_orders,completeness,PO000230
purchase_orders,completeness,PO000237
purchase_orders,completeness,PO000279
purchase_orders,completeness,PO000309
purchase_orders,completeness,PO000366
purchase_orders,completeness,PO000404
purchase_orders,completeness,PO000434
purchase_orders,completeness,PO000457
purchase_orders,completeness,PO000515
purchase_orders,completeness,PO000534
purchase_orders,completeness,PO000565
purchase_orders,completeness,PO000612
purchase_orders,completeness,PO000651
purchase_orders,completeness,PO000657
purchase_orders,completeness,PO000660
purchase_orders,completeness,PO000670
purchase_orders,completeness,PO000686
purchase_orders,completeness,PO000702
purchase_orders,completeness,PO000813
purchase_orders,completeness,PO000823
purchase_orders,completeness,PO000855
purchase_orders,completeness,PO000880
purchase_orders,completeness,PO000888
purchase_orders,completeness,PO000936
purchase_orders,completeness,PO000941
purchase_orders,completeness,PO001060
purchase_orders,completeness,PO001074
purchase_orders,completeness,PO001305
purchase_orders,completeness,PO001347
purchase_orders,completeness,PO001375
purchase_orders,completeness,PO001392
purchase_orders,completeness,PO001404
purchase_orders,completeness,PO001424
purchase_orders,completeness,PO001452
purchase_orders,completeness,PO001573
purchase_orders,completeness,PO001583
purchase_orders,completeness,PO001584
purchase_orders,completeness,PO001596
purchase_orders,completeness,PO001687
purchase_orders,completeness,PO001761
purchase_orders,completeness,PO001766
purchase_orders,completeness,PO001862
purchase_orders,completeness,PO001877
purchase_orders,completeness,PO001888
purchase_orders,completeness,PO002162
purchase_orders,completeness,PO002242
purchase_orders,completeness,PO002254
purchase_orders,completeness,PO002274
purchase_orders,completeness,PO002287
purchase_orders,completeness,PO002297
purchase_orders,completeness,PO002351
purchase_orders,completeness,PO002401
purchase_orders,completeness,PO002414
purchase_orders,completeness,PO002434
purchase_orders,completeness,PO002440
purchase_orders,completeness,PO002455
purchase_orders,completeness,PO002489
purchase_orders,completeness,PO002500
purchase_orders,completeness,PO002595
purchase_orders,completeness,PO002610
purchase_orders,completeness,PO002724
purchase_orders,completeness,PO002745
purchase_orders,completeness,PO002751
purchase_orders,completeness,PO002773
purchase_orders,completeness,PO002785
purchase_orders,completeness,PO002868
purchase_orders,completeness,PO002880
purchase_orders,completeness,PO002899
products,uniqueness,PRO00074
products,uniqueness,SKU00159
products,uniqueness,PROD00184
products,uniqueness,PRO00193
products,uniqueness,ITM00200
products,validity,PRO00068
products,validity,SKU00179
products,validity,PROD00187
products,consistency,PRO00017
products,consistency,SKU00031
products,consistency,PRO00042
products,consistency,PRO00052
products,consistency,SKU00082
products,consistency,ITM00127
products,consistency,ITM00135
products,consistency,SKU00140
products,consistency,PROD00164
products,consistency,PROD00191
purchase_orders,consistency,PO000041
purchase_orders,consistency,PO000056
purchase_orders,consistency,PO000057
purchase_orders,consistency,PO000075
purchase_orders,consistency,PO000104
purchase_orders,consistency,PO000124
purchase_orders,consistency,PO000190
purchase_orders,consistency,PO000199
purchase_orders,consistency,PO000274
purchase_orders,consistency,PO000296
purchase_orders,consistency,PO000301
purchase_orders,consistency,PO000314
purchase_orders,consistency,PO000382
purchase_orders,consistency,PO000450
purchase_orders,consistency,PO000512
purchase_orders,consistency,PO000542
purchase_orders,consistency,PO000543
purchase_orders,consistency,PO000629
purchase_orders,consistency,PO000701
purchase_orders,consistency,PO000779
purchase_orders,consistency,PO000807
purchase_orders,consistency,PO000819
purchase_orders,consistency,PO000912
purchase_orders,consistency,PO000924
purchase_orders,consistency,PO001030
purchase_orders,consistency,PO001040
purchase_orders,consistency,PO001062
purchase_orders,consistency,PO001106
purchase_orders,consistency,PO001118
purchase_orders,consistency,PO001155
purchase_orders,consistency,PO001177
purchase_orders,consistency,PO001217
purchase_orders,consistency,PO001229
purchase_orders,consistency,PO001239
purchase_orders,consistency,PO001258
purchase_orders,consistency,PO001297
purchase_orders,consistency,PO001299
purchase_orders,consistency,PO001321
purchase_orders,consistency,PO001349
purchase_orders,consistency,PO001359
purchase_orders,consistency,PO001360
purchase_orders,consistency,PO001396
purchase_orders,consistency,PO001417
purchase_orders,consistency,PO001443
purchase_orders,consistency,PO001485
purchase_orders,consistency,PO001556
purchase_orders,consistency,PO001590
purchase_orders,consistency,PO001666
purchase_orders,consistency,PO001672
purchase_orders,consistency,PO001680
purchase_orders,consistency,PO001694
purchase_orders,consistency,PO001826
purchase_orders,consistency,PO001838
purchase_orders,consistency,PO001891
purchase_orders,consistency,PO001927
purchase_orders,consistency,PO001964
purchase_orders,consistency,PO002053
purchase_orders,consistency,PO002055
purchase_orders,consistency,PO002061
purchase_orders,consistency,PO002086
purchase_orders,consistency,PO002095
purchase_orders,consistency,PO002126
purchase_orders,consistency,PO002134
purchase_orders,consistency,PO002140
purchase_orders,consistency,PO002182
purchase_orders,consistency,PO002189
purchase_orders,consistency,PO002294
purchase_orders,consistency,PO002302
purchase_orders,consistency,PO002329
purchase_orders,consistency,PO002343
purchase_orders,consistency,PO002393
purchase_orders,consistency,PO002398
purchase_orders,consistency,PO002408
purchase_orders,consistency,PO002433
purchase_orders,consistency,PO002454
purchase_orders,consistency,PO002491
purchase_orders,consistency,PO002563
purchase_orders,consistency,PO002567
purchase_orders,consistency,PO002569
purchase_orders,consistency,PO002648
purchase_orders,consistency,PO002682
purchase_orders,consistency,PO002801
purchase_orders,consistency,PO002839
purchase_orders,consistency,PO002882
purchase_orders,consistency,PO002939
purchase_orders,consistency,PO002967
purchase_orders,consistency,PO002971
inventory_transactions,consistency,TXN0000026
inventory_transactions,consistency,TXN0000046
inventory_transactions,consistency,TXN0000050
inventory_transactions,consistency,TXN0000071
inventory_transactions,consistency,TXN0000091
inventory_transactions,consistency,TXN0000110
inventory_transactions,consistency,TXN0000119
inventory_transactions,consistency,TXN0000148
inventory_transactions,consistency,TXN0000167
inventory_transactions,consistency,TXN0000181
inventory_transactions,consistency,TXN0000210
inventory_transactions,consistency,TXN0000228
inventory_transactions,consistency,TXN0000252
inventory_transactions,consistency,TXN0000301
inventory_transactions,consistency,TXN0000334
inventory_transactions,consistency,TXN0000442
inventory_transactions,consistency,TXN0000450
inventory_transactions,consistency,TXN0000494
inventory_transactions,consistency,TXN0000499
inventory_transactions,consistency,TXN0000525
inventory_transactions,consistency,TXN0000526
inventory_transactions,consistency,TXN0000561
inventory_transactions,consistency,TXN0000576
inventory_transactions,consistency,TXN0000626
inventory_transactions,consistency,TXN0000633
inventory_transactions,consistency,TXN0000644
inventory_transactions,consistency,TXN0000645
inventory_transactions,consistency,TXN0000658
inventory_transactions,consistency,TXN0000671
inventory_transactions,consistency,TXN0000720
inventory_transactions,consistency,TXN0000820
inventory_transactions,consistency,TXN0000854
inventory_transactions,consistency,TXN0000881
inventory_transactions,consistency,TXN0000884
inventory_transactions,consistency,TXN0000949
inventory_transactions,consistency,TXN0000957
inventory_transactions,consistency,TXN0000960
inventory_transactions,consistency,TXN0001014
inventory_transactions,consistency,TXN0001042
inventory_transactions,consistency,TXN0001051
inventory_transactions,consistency,TXN0001097
inventory_transactions,consistency,TXN0001105
inventory_transactions,consistency,TXN0001152
inventory_transactions,consistency,TXN0001165
inventory_transactions,consistency,TXN0001207
inventory_transactions,consistency,TXN0001277
inventory_transactions,consistency,TXN0001285
inventory_transactions,consistency,TXN0001297
inventory_transactions,consistency,TXN0001336
inventory_transactions,consistency,TXN0001352
inventory_transactions,consistency,TXN0001389
inventory_transactions,consistency,TXN0001421
inventory_transactions,consistency,TXN0001464
inventory_transactions,consistency,TXN0001507
inventory_transactions,consistency,TXN0001530
inventory_transactions,consistency,TXN0001549
inventory_transactions,consistency,TXN0001571
inventory_transactions,consistency,TXN0001611
inventory_transactions,consistency,TXN0001726
inventory_transactions,consistency,TXN0001728
inventory_transactions,consistency,TXN0001732
inventory_transactions,consistency,TXN0001761
inventory_transactions,consistency,TXN0001767
inventory_transactions,consistency,TXN0001783
inventory_transactions,consistency,TXN0001834
inventory_transactions,consistency,TXN0001880
inventory_transactions,consistency,TXN0001887
inventory_transactions,consistency,TXN0001908
inventory_transactions,consistency,TXN0001914
inventory_transactions,consistency,TXN0001915
inventory_transactions,consistency,TXN0001923
inventory_transactions,consistency,TXN0001958
inventory_transactions,consistency,TXN0001983
inventory_transactions,consistency,TXN0001989
inventory_transactions,consistency,TXN0002021
inventory_transactions,consistency,TXN0002049
inventory_transactions,consistency,TXN0002053
inventory_transactions,consistency,TXN0002120
inventory_transactions,consistency,TXN0002126
inventory_transactions,consistency,TXN0002139
inventory_transactions,consistency,TXN0002155
inventory_transactions,consistency,TXN0002172
inventory_transactions,consistency,TXN0002227
inventory_transactions,consistency,TXN0002240
inventory_transactions,consistency,TXN0002252
inventory_transactions,consistency,TXN0002254
inventory_transactions,consistency,TXN0002272
inventory_transactions,consistency,TXN0002274
inventory_transactions,consistency,TXN0002278
inventory_transactions,consistency,TXN0002342
inventory_transactions,consistency,TXN0002360
inventory_transactions,consistency,TXN0002370
inventory_transactions,consistency,TXN0002418
inventory_transactions,consistency,TXN0002449
inventory_transactions,consistency,TXN0002485
inventory_transactions,consistency,TXN0002518
inventory_transactions,consistency,TXN0002579
inventory_transactions,consistency,TXN0002599
inventory_transactions,consistency,TXN0002615
inventory_transactions,consistency,TXN0002616
inventory_transactions,consistency,TXN0002618
inventory_transactions,consistency,TXN0002695
inventory_transactions,consistency,TXN0002698
inventory_transactions,consistency,TXN0002721
inventory_transactions,consistency,TXN0002794
inventory_transactions,consistency,TXN0002803
inventory_transactions,consistency,TXN0002824
inventory_transactions,consistency,TXN0002861
inventory_transactions,consistency,TXN0002881
inventory_transactions,consistency,TXN0002897
inventory_transactions,consistency,TXN0002907
inventory_transactions,consistency,TXN0003049
inventory_transactions,consistency,TXN0003061
inventory_transactions,consistency,TXN0003100
inventory_transactions,consistency,TXN0003150
inventory_transactions,consistency,TXN0003161
inventory_transactions,consistency,TXN0003190
inventory_transactions,consistency,TXN0003245
inventory_transactions,consistency,TXN0003311
inventory_transactions,consistency,TXN0003338
inventory_transactions,consistency,TXN0003377
inventory_transactions,consistency,TXN0003409
inventory_transactions,consistency,TXN0003434
inventory_transactions,consistency,TXN0003452
inventory_transactions,consistency,TXN0003466
inventory_transactions,consistency,TXN0003477
inventory_transactions,consistency,TXN0003478
inventory_transactions,consistency,TXN0003483
inventory_transactions,consistency,TXN0003486
inventory_transactions,consistency,TXN0003552
inventory_transactions,consistency,TXN0003588
inventory_transactions,consistency,TXN0003661
inventory_transactions,consistency,TXN0003664
inventory_transactions,consistency,TXN0003677
inventory_transactions,consistency,TXN0003707
inventory_transactions,consistency,TXN0003763
inventory_transactions,consistency,TXN0003813
inventory_transactions,consistency,TXN0003818
inventory_transactions,consistency,TXN0003863
inventory_transactions,consistency,TXN0003891
inventory_transactions,consistency,TXN0003892
inventory_transactions,consistency,TXN0003905
inventory_transactions,consistency,TXN0003907
inventory_transactions,consistency,TXN0003909
inventory_transactions,consistency,TXN0003951
inventory_transactions,consistency,TXN0003972
inventory_transactions,consistency,TXN0004007
inventory_transactions,consistency,TXN0004027
inventory_transactions,consistency,TXN0004044
inventory_transactions,consistency,TXN0004045
inventory_transactions,consistency,TXN0004059
inventory_transactions,consistency,TXN0004076
inventory_transactions,consistency,TXN0004086
inventory_transactions,consistency,TXN0004171
inventory_transactions,consistency,TXN0004178
inventory_transactions,consistency,TXN0004192
inventory_transactions,consistency,TXN0004215
inventory_transactions,consistency,TXN0004300
inventory_transactions,consistency,TXN0004421
inventory_transactions,consistency,TXN0004449
inventory_transactions,consistency,TXN0004450
inventory_transactions,consistency,TXN0004527
inventory_transactions,consistency,TXN0004600
inventory_transactions,consistency,TXN0004634
inventory_transactions,consistency,TXN0004659
inventory_transactions,consistency,TXN0004675
inventory_transactions,consistency,TXN0004734
inventory_transactions,consistency,TXN0004771
inventory_transactions,consistency,TXN0004774
inventory_transactions,consistency,TXN0004781
inventory_transactions,consistency,TXN0004797
inventory_transactions,consistency,TXN0004816
inventory_transactions,consistency,TXN0004828
inventory_transactions,consistency,TXN0004832
inventory_transactions,consistency,TXN0004903
inventory_transactions,consistency,TXN0005036
inventory_transactions,consistency,TXN0005042
inventory_transactions,consistency,TXN0005090
inventory_transactions,consistency,TXN0005130
inventory_transactions,consistency,TXN0005139
inventory_transactions,consistency,TXN0005173
inventory_transactions,consistency,TXN0005216
inventory_transactions,consistency,TXN0005269
inventory_transactions,consistency,TXN0005370
inventory_transactions,consistency,TXN0005376
inventory_transactions,consistency,TXN0005409
inventory_transactions,consistency,TXN0005459
inventory_transactions,consistency,TXN0005484
inventory_transactions,consistency,TXN0005620
inventory_transactions,consistency,TXN0005639
inventory_transactions,consistency,TXN0005660
inventory_transactions,consistency,TXN0005687
inventory_transactions,consistency,TXN0005745
inventory_transactions,consistency,TXN0005811
inventory_transactions,consistency,TXN0005833
inventory_transactions,consistency,TXN0005875
inventory_transactions,consistency,TXN0005893
inventory_transactions,consistency,TXN0005928
inventory_transactions,consistency,TXN0006038
inventory_transactions,consistency,TXN0006063
inventory_transactions,consistency,TXN0006109
inventory_transactions,consistency,TXN0006149
inventory_transactions,consistency,TXN0006180
inventory_transactions,consistency,TXN0006250
inventory_transactions,consistency,TXN0006276
inventory_transactions,consistency,TXN0006288
inventory_transactions,consistency,TXN0006306
inventory_transactions,consistency,TXN0006334
inventory_transactions,consistency,TXN0006359
inventory_transactions,consistency,TXN0006420
inventory_transactions,consistency,TXN0006439
inventory_transactions,consistency,TXN0006474
inventory_transactions,consistency,TXN0006478
inventory_transactions,consistency,TXN0006522
inventory_transactions,consistency,TXN0006523
inventory_transactions,consistency,TXN0006555
inventory_transactions,consistency,TXN0006556
inventory_transactions,consistency,TXN0006572
inventory_transactions,consistency,TXN0006610
inventory_transactions,consistency,TXN0006647
inventory_transactions,consistency,TXN0006659
inventory_transactions,consistency,TXN0006692
inventory_transactions,consistency,TXN0006709
inventory_transactions,consistency,TXN0006723
inventory_transactions,consistency,TXN0006780
inventory_transactions,consistency,TXN0006830
inventory_transactions,consistency,TXN0006962
inventory_transactions,consistency,TXN0006975
inventory_transactions,consistency,TXN0007062
inventory_transactions,consistency,TXN0007097
inventory_transactions,consistency,TXN0007169
inventory_transactions,consistency,TXN0007196
inventory_transactions,consistency,TXN0007201
inventory_transactions,consistency,TXN0007210
inventory_transactions,consistency,TXN0007220
inventory_transactions,consistency,TXN0007266
inventory_transactions,consistency,TXN0007367
inventory_transactions,consistency,TXN0007441
inventory_transactions,consistency,TXN0007449
inventory_transactions,consistency,TXN0007504
inventory_transactions,consistency,TXN0007534
inventory_transactions,consistency,TXN0007599
inventory_transactions,consistency,TXN0007618
inventory_transactions,consistency,TXN0007631
inventory_transactions,consistency,TXN0007644
inventory_transactions,consistency,TXN0007682
inventory_transactions,consistency,TXN0007721
inventory_transactions,consistency,TXN0007753
inventory_transactions,consistency,TXN0007788
inventory_transactions,consistency,TXN0007843
inventory_transactions,consistency,TXN0007863
inventory_transactions,consistency,TXN0007911
inventory_transactions,consistency,TXN0007924
purchase_orders,accuracy,PO000189
purchase_orders,accuracy,PO000389
purchase_orders,accuracy,PO000590
purchase_orders,accuracy,PO000627
purchase_orders,accuracy,PO000682
purchase_orders,accuracy,PO000770
purchase_orders,accuracy,PO000846
purchase_orders,accuracy,PO001150
purchase_orders,accuracy,PO001240
purchase_orders,accuracy,PO001334
purchase_orders,accuracy,PO001344
purchase_orders,accuracy,PO001429
purchase_orders,accuracy,PO001478
purchase_orders,accuracy,PO001494
purchase_orders,accuracy,PO001568
purchase_orders,accuracy,PO002132
purchase_orders,accuracy,PO002135
purchase_orders,accuracy,PO002280
purchase_orders,accuracy,PO002292
purchase_orders,accuracy,PO002328
purchase_orders,accuracy,PO002637
purchase_orders,accuracy,PO002648
purchase_orders,accuracy,PO002933
purchase_orders,accuracy,PO002963
purchase_orders,accuracy,PO000242
purchase_orders,accuracy,PO000356
purchase_orders,accuracy,PO000424
purchase_orders,accuracy,PO000440
purchase_orders,accuracy,PO000600
purchase_orders,accuracy,PO000634
purchase_orders,accuracy,PO000737
purchase_orders,accuracy,PO000754
purchase_orders,accuracy,PO000878
purchase_orders,accuracy,PO000907
purchase_orders,accuracy,PO000956
purchase_orders,accuracy,PO001098
purchase_orders,accuracy,PO001139
purchase_orders,accuracy,PO001208
purchase_orders,accuracy,PO001266
purchase_orders,accuracy,PO001296
purchase_orders,accuracy,PO001320
purchase_orders,accuracy,PO001335
purchase_orders,accuracy,PO001400
purchase_orders,accuracy,PO001405
purchase_orders,accuracy,PO001546
purchase_orders,accuracy,PO001592
purchase_orders,accuracy,PO001754
purchase_orders,accuracy,PO002008
purchase_orders,accuracy,PO002083
purchase_orders,accuracy,PO002147
purchase_orders,accuracy,PO002162
purchase_orders,accuracy,PO002407
purchase_orders,accuracy,PO002435
purchase_orders,accuracy,PO002466
purchase_orders,accuracy,PO002471
purchase_orders,accuracy,PO002747
purchase_orders,accuracy,PO002765
purchase_orders,accuracy,PO002785
purchase_orders,accuracy,PO002793
purchase_orders,accuracy,PO002859
inventory,accuracy,SKU00002
inventory,accuracy,PRO00022
inventory,accuracy,ITM00023
inventory,accuracy,SKU00026
inventory,accuracy,SKU00031
inventory,accuracy,PRO00064
inventory,accuracy,ITM00070
inventory,accuracy,ITM00071
inventory,accuracy,PROD00075
inventory,accuracy,PRO00078
inventory,accuracy,PRO00081
inventory,accuracy,PROD00084
inventory,accuracy,PRO00087
inventory,accuracy,PROD00117
inventory,accuracy,PROD00125
inventory,accuracy,PROD00129
inventory,accuracy,SKU00140
inventory,accuracy,SKU00142
inventory,accuracy,PRO00148
inventory,accuracy,PROD00149
inventory,accuracy,PROD00149
inventory,accuracy,PRO00150
inventory,accuracy,PROD00153
inventory,accuracy,PROD00153
inventory,accuracy,SKU00159
inventory,accuracy,PRO00162
inventory,accuracy,PRO00162
inventory,accuracy,PROD00165
inventory,accuracy,ITM00166
inventory,accuracy,PROD00174
inventory,accuracy,SKU00190
inventory,accuracy,PRO00193
inventory,accuracy,SKU00194
inventory,accuracy,SKU00197
