purchase_order_id,supplier_id,sku,qty_ordered,order_date,expected_delivery_date,delivery_status
PO000083,SUP006,ITM00036,371,06-08-2024,13-08-2024,Cancelled
PO000084,SUP019,SKU00190,67,07-02-2025,13-03-2025,Cancelled
PO000085,SUP024,ITM00105,86,12-01-2024,02-02-2024,Delayed
PO000086,SUP020,PRO00119,187,,02-11-2025,Delayed
PO000087,SUP022,PROD00153,439,28-12-2024,16-02-2025,Cancelled
PO000088,SUP029,PRO00037,484,24-10-2024,13-12-2024,Pending
PO000089,SUP027,PROD00136,473,22-11-2024,14-12-2024,Pending
PO000090,SUP018,SKU00098,415,25-09-2023,15-10-2023,Pending
PO000091,SUP023,PROD00044,422,10-02-2025,26-03-2025,Delayed
PO000092,SUP005,PRO00014,60,13-09-2023,23-10-2023,In Transit
PO000093,SUP009,PRO00183,149,11-12-2023,02-01-2024,Cancelled
PO000094,SUP012,PROD00062,387,14-11-2023,23-11-2023,Delayed
PO000095,SUP020,SKU00124,490,06-07-2023,11-07-2023,Pending
PO000096,SUP005,PRO00022,322,13-05-2025,25-05-2025,Pending
PO000097,SUP030,SKU00159,463,,17-02-2024,Delayed
PO000098,SUP026,SKU00009,183,10-12-2024,26-12-2024,Delivered
PO000099,SUP007,PRO00131,531,29-10-2024,09-12-2024,Pending
PO000100,SUP030,ITM00096,452,30-01-2025,21-02-2025,Delayed
PO000101,SUP007,PROD00056,209,05-02-2024,16-02-2024,Cancelled
PO000102,SUP028,ITM00105,220,30-06-2023,15-07-2023,Cancelled
PO000103,SUP002,PROD00184,385,04-08-2023,08-09-2023,Delivered
PO000104,SUP010,SKU00152,114,10-03-2023,09-04-2023, In Transit
PO000105,SUP012,PROD00178,237,03-03-2023,11-03-2023,Delayed
PO000106,SUP011,PRO00014,419,11-03-2025,31-03-2025,
PO000107,SUP003,PRO00133,51,29-11-2024,25-12-2024,Pending
PO000108,SUP018,ITM00065,401,25-01-2025,21-02-2025,Delivered
PO000109,SUP001,SKU00035,233,10-03-2023,24-03-2023,Cancelled
PO000110,SUP019,ITM00021,150,23-02-2025,10-03-2025,Delayed
PO000111,SUP003,ITM00077,51,15-06-2025,22-07-2025,Delivered
PO000112,SUP016,PROD00073,334,03-12-2024,09-12-2024,In Transit
PO000113,SUP026,PRO00155,435,29-08-2023,29-09-2023,In Transit
PO000114,SUP010,PROD00191,61,26-12-2024,14-02-2025,In Transit
PO000115,SUP023,PRO00012,309,25-02-2023,08-03-2023,Cancelled
PO000116,SUP028,PROD00182,,,20-09-2025,In Transit
PO000117,SUP002,SKU00026,434,23-05-2024,29-05-2024,Delayed
PO000118,SUP012,ITM00077,99,09-07-2025,28-07-2025,In Transit
PO000119,SUP025,PROD00129,255,27-01-2023,06-03-2023,In Transit
PO000120,SUP009,SKU00159,516,11-09-2023,23-10-2023,Pending
PO000121,SUP026,PROD00168,388,22-09-2024,18-10-2024,In Transit
PO000122,SUP027,PROD00008,475,14-02-2025,27-03-2025,Cancelled
PO000123,SUP011,PROD00084,244,14-09-2025,20-10-2025,In Transit
PO000124,SUP019,PRO00060,141,25-02-2024,11-03-2024,Cancelled 
PO000125,SUP010,PRO00155,72,23-11-2024,25-12-2024,Delivered
PO000126,SUP028,ITM00139,298,09-03-2024,05-04-2024,In Transit
PO000127,SUP013,ITM00040,463,19-02-2024,31-03-2024,In Transit
PO000128,SUP012,ITM00127,179,,08-04-2025,Pending
PO000129,SUP005,ITM00036,469,26-06-2025,28-07-2025,In Transit
PO000130,SUP008,PRO00028,348,30-01-2023,04-02-2023,Cancelled
PO000131,SUP006,PROD00149,421,30-01-2025,18-03-2025,Cancelled
PO000132,SUP030,PRO00010,188,23-01-2023,01-03-2023,Cancelled
PO000133,SUP027,PROD00016,416,11-12-2023,16-12-2023,Pending
PO000134,SUP027,PROD00123,352,10-02-2025,27-02-2025,Delayed
PO000135,SUP009,PRO00162,536,19-09-2024,27-10-2024,Delivered
PO000136,SUP018,PRO00053,189,16-09-2024,03-10-2024,Delivered
PO000137,SUP017,PRO00007,454,21-05-2025,10-07-2025,In Transit
PO000138,SUP011,SKU00186,172,11-09-2025,21-09-2025,Cancelled
PO000139,SUP028,ITM00033,368,27-03-2024,05-04-2024,In Transit
PO000140,SUP024,PRO00078,508,,09-02-2025,Cancelled
PO000141,SUP020,PROD00059,533,16-03-2024,22-04-2024,Cancelled
PO000142,SUP011,ITM00172,344,30-07-2025,18-09-2025,Pending
PO000143,SUP029,PRO00068,82,17-02-2024,19-03-2024,Delayed
PO000144,SUP024,PROD00153,349,15-04-2025,22-05-2025,Delivered
PO000145,SUP030,PRO00087,122,07-07-2023,21-07-2023,Delayed
PO000146,SUP030,ITM00134,221,23-04-2024,01-06-2024,In Transit
PO000147,SUP013,SKU00154,509,14-07-2023,12-08-2023,Delivered
PO000148,SUP015,SKU00188,238,29-04-2023,06-04-2023,Delayed
PO000149,SUP008,PRO00078,440,10-03-2024,23-04-2024,In Transit
PO000150,SUP025,ITM00114,371,21-08-2024,27-09-2024,In Transit
PO000151,SUP025,ITM00065,476,08-02-2025,18-02-2025,Pending
PO000152,SUP020,ITM00040,160,02-04-2025,21-04-2025,Delayed
PO000153,SUP009,SKU00020,369,16-07-2024,30-07-2024,Pending
PO000154,SUP026,PROD00129,70,22-07-2024,03-09-2024,In Transit
PO000155,SUP005,SKU00094,191,17-06-2025,03-07-2025,Delayed
PO000156,SUP030,PROD00090,371,02-12-2023,24-12-2023,Delayed
PO000157,SUP006,ITM00058,,05-05-2025,30-05-2025,In Transit
PO000158,SUP015,PRO00198,458,03-09-2025,11-04-2025,In Transit
PO000159,SUP005,PRO00155,148,,15-03-2025,Cancelled
PO000160,SUP020,ITM00111,537,21-09-2025,10-10-2025,Delayed
PO000161,SUP004,PRO00148,153,25-09-2023,07-10-2023,Pending
PO000162,SUP020,SKU00046,65,24-06-2023,09-08-2023,In Transit
PO000163,SUP016,PROD00145,480,04-05-2024,29-05-2024,Delivered
PO000164,SUP026,ITM00091,165,03-06-2024,08-07-2024,Delivered
PO000165,SUP026,ITM00134,172,10-06-2024,22-06-2024,Pending
PO000166,SUP023,PRO00193,347,07-10-2024,10-11-2024,Delivered
PO000167,SUP027,SKU00072,288,19-05-2023,03-06-2023,Pending
PO000168,SUP019,ITM00189,462,24-07-2023,02-09-2023,In Transit
PO000169,SUP018,PRO00087,394,16-02-2024,29-03-2024,In Transit
PO000170,SUP007,PRO00087,250,14-01-2024,02-03-2024,Delayed
PO000171,SUP003,PRO00161,133,28-01-2025,09-03-2025,Pending
PO000172,SUP023,PROD00145,427,12-12-2024,25-12-2024,Pending
PO000173,SUP013,PROD00016,57,16-05-2023,27-05-2023,Delayed
PO000174,SUP028,PRO00014,514,19-11-2024,25-11-2024,Pending
PO000175,SUP009,SKU00118,374,12-02-2023,10-03-2023,Pending
PO000176,SUP013,SKU00086,121,09-11-2024,16-11-2024,Pending
PO000177,SUP017,PROD00004,503,03-05-2025,26-05-2025,Delivered
PO000178,SUP028,PROD00048,435,06-04-2023,17-04-2023,Cancelled
PO000179,SUP010,SKU00101,277,14-07-2023,07-08-2023,Delivered
PO000180,SUP023,PRO00028,132,10-12-2024,03-01-2025,Delayed
PO000181,SUP001,PRO00146,291,29-06-2024,02-08-2024,In Transit
PO000182,SUP001,PRO00014,207,14-07-2024,26-07-2024,Cancelled
PO000183,SUP002,SKU00046,380,,16-07-2023,Delayed
PO000184,SUP021,PRO00092,96,10-04-2023,26-04-2023,Pending
PO000185,SUP019,PROD00149,418,27-09-2023,29-10-2023,Pending
PO000186,SUP007,PROD00178,166,20-07-2025,01-08-2025,Delayed
PO000187,SUP022,ITM00040,439,20-07-2025,30-08-2025,In Transit
PO000188,SUP006,PROD00187,98,,02-03-2024,Delivered
PO000189,SUP021,PRO00195,339,09/25/2025,31-10-2025,Delivered
PO000190,SUP011,PRO00162,148,11-07-2025,24-08-2025, Delivered
PO000191,SUP018,ITM00071,493,25-07-2024,18-08-2024,In Transit
PO000192,SUP017,SKU00054,479,09-02-2024,05-03-2024,
PO000193,SUP017,PRO00012,183,22-09-2023,05-11-2023,Pending
PO000194,SUP013,PROD00006,308,07-05-2024,26-06-2024,Delivered
PO000195,SUP028,ITM00172,68,28-12-2023,04-02-2024,Delivered
PO000196,SUP017,PROD00080,476,18-03-2025,18-04-2025,Delivered
PO000197,SUP012,PRO00078,273,22-01-2024,23-02-2024,Cancelled
PO000198,SUP015,SKU00197,141,20-09-2024,11-10-2024,In Transit
PO000199,SUP003,PROD00182,153,08-06-2024,28-07-2024, Pending
PO000200,SUP026,ITM00025,393,05-01-2025,13-01-2025,Pending
PO000201,SUP001,PROD00171,63,25-02-2024,07-04-2024,Pending
PO000202,SUP005,PRO00092,468,29-06-2024,05-08-2024,In Transit
PO000203,SUP014,PROD00062,187,07-07-2025,24-07-2025,In Transit
PO000204,SUP013,SKU00035,128,17-03-2025,05-05-2025,Delivered
PO000205,SUP017,SKU00083,348,10-06-2024,19-06-2024,In Transit
PO000206,SUP002,PRO00005,319,01-02-2024,19-03-2024,Cancelled
PO000207,SUP030,PROD00045,123,21-05-2024,07-07-2024,Delayed
PO000208,SUP027,SKU00143,340,22-03-2024,30-04-2024,Delivered
PO000209,SUP004,PROD00107,294,03-10-2024,11-10-2024,Delivered
PO000210,SUP020,PROD00090,144,09-03-2023,11-04-2023,Delivered
PO000211,SUP019,SKU00094,458,09-02-2025,01-03-2025,Pending
PO000212,SUP019,SKU00141,359,14-02-2023,15-03-2023,Delayed
PO000213,SUP022,PROD00045,61,25-03-2023,30-03-2023,Delayed
PO000214,SUP023,PROD00177,469,29-04-2023,06-05-2023,Delivered
PO000215,SUP021,SKU00138,437,11-10-2023,16-10-2023,Delayed
PO000216,SUP003,SKU00179,244,03-05-2023,11-06-2023,Pending
PO000217,SUP016,PRO00010,442,02-08-2023,01-09-2023,Pending
PO000218,SUP026,SKU00031,473,26-08-2025,12-09-2025,Cancelled
PO000219,SUP003,ITM00111,285,26-08-2023,10-10-2023,Pending
PO000220,SUP003,PRO00053,456,02-04-2025,21-05-2025,In Transit
PO000221,SUP027,PROD00187,298,27-07-2025,16-08-2025,Cancelled
PO000222,SUP011,PROD00090,239,13-08-2023,21-08-2023,Pending
PO000223,SUP012,PROD00199,191,20-06-2024,31-07-2024,Pending
PO000224,SUP023,PROD00165,346,27-05-2023,15-07-2023,Pending
PO000225,SUP014,SKU00101,524,03-09-2025,05-10-2025,Cancelled
PO000226,SUP018,SKU00082,55,10-01-2024,02-02-2024,Pending
PO000227,SUP022,PROD00056,524,02-01-2023,16-01-2023,Delayed
PO000228,SUP018,PRO00198,383,31-12-2023,07-01-2024,Cancelled
PO000229,SUP005,PRO00146,304,02-08-2023,27-08-2023,In Transit
PO000230,SUP022,ITM00033,442,15-10-2024,29-10-2024,
PO000231,SUP001,SKU00103,203,16-08-2024,23-08-2024,Cancelled
PO000232,SUP007,SKU00190,502,31-12-2024,21-01-2025,Delivered
PO000233,SUP001,PROD00191,131,29-01-2025,11-03-2025,Delivered
PO000234,SUP004,PRO00066,389,09-01-2024,11-02-2024,Delivered
PO000235,SUP015,PRO00150,388,09-01-2024,21-02-2024,Pending
PO000236,SUP001,PROD00062,140,02-12-2023,03-01-2024,Delivered
PO000237,SUP009,ITM00139,523,02-11-2023,25-11-2023,
PO000238,SUP007,SKU00196,432,,11-11-2024,Pending
PO000239,SUP023,SKU00093,151,27-03-2024,01-05-2024,Cancelled
PO000240,SUP001,PROD00167,130,05-05-2024,16-06-2024,In Transit
PO000241,SUP027,ITM00021,103,24-08-2023,06-09-2023,Delayed
PO000242,SUP009,PROD00051,99,25-03-2023,04/25/2023,Delivered
PO000243,SUP024,PRO00131,107,20-07-2023,25-07-2023,In Transit
PO000244,SUP008,SKU00009,225,29-07-2024,10-09-2024,Cancelled
PO000245,SUP009,ITM00011,311,09-04-2023,26-05-2023,In Transit
PO000246,SUP020,SKU00197,498,30-01-2025,17-02-2025,Delayed
PO000247,SUP022,PRO00131,415,25-08-2024,09-09-2024,Cancelled
PO000248,SUP026,PRO00161,55,31-05-2025,23-06-2025,Delayed
PO000249,SUP014,ITM00176,50,12-07-2024,13-08-2024,Delivered
PO000250,SUP006,PROD00132,242,21-01-2025,26-01-2025,Cancelled
PO000251,SUP010,PROD00177,543,16-02-2024,14-03-2024,Delayed
PO000252,SUP010,PRO00039,200,,25-09-2023,Delayed
PO000253,SUP017,PROD00136,110,01-06-2023,07-07-2023,In Transit
PO000254,SUP013,PRO00027,62,21-03-2023,22-04-2023,In Transit
PO000255,SUP007,PROD00164,138,22-07-2023,24-08-2023,Cancelled
PO000256,SUP012,SKU00138,62,24-07-2023,19-08-2023,Delivered
PO000257,SUP008,ITM00065,529,03-03-2023,23-03-2023,Delivered
PO000258,SUP005,PRO00131,188,30-09-2023,04-11-2023,In Transit
PO000259,SUP014,PRO00151,518,29-12-2024,30-01-2025,Delayed
PO000260,SUP011,ITM00077,403,22-02-2024,04-03-2024,In Transit
PO000261,SUP010,ITM00070,118,18-09-2025,16-10-2025,In Transit
PO000262,SUP021,ITM00040,215,25-12-2023,15-01-2024,Delivered
PO000263,SUP018,PROD00160,411,15-03-2024,23-03-2024,In Transit
PO000264,SUP017,PROD00106,284,11-04-2024,11-05-2024,In Transit
PO000265,SUP006,SKU00141,352,19-07-2023,29-08-2023,Cancelled
PO000266,SUP007,SKU00138,510,,30-06-2025,Pending
PO000267,SUP030,PROD00168,535,07-08-2024,03-09-2024,Cancelled
PO000268,SUP007,ITM00001,,01-08-2025,22-08-2025,Delivered
PO000269,SUP012,PRO00151,397,22-05-2023,11-07-2023,Delayed
PO000270,SUP010,ITM00043,545,14-02-2025,19-02-2025,Pending
PO000271,SUP009,ITM00114,469,22-07-2023,02-09-2023,Delivered
PO000272,SUP005,ITM00025,375,07-10-2024,26-11-2024,Delivered
PO000273,SUP012,PROD00090,356,29-09-2025,14-10-2025,Delayed
PO000274,SUP004,PROD00185,332,13-08-2024,30-08-2024, Delivered 
PO000275,SUP010,PRO00037,55,24-02-2025,02-04-2025,In Transit
PO000276,SUP027,SKU00181,396,16-04-2024,12-05-2024,Delayed
PO000277,SUP017,PROD00006,52,08-05-2024,29-05-2024,Delivered
PO000278,SUP002,PRO00007,270,30-09-2023,10-11-2023,Delayed
PO000279,SUP003,ITM00112,,18-08-2024,24-08-2024,
PO000280,SUP002,ITM00139,272,07-01-2023,09-02-2023,In Transit
PO000281,SUP016,PRO00032,171,08-03-2023,26-03-2023,Delayed
PO000282,SUP007,PRO00155,546,14-03-2023,22-04-2023,Cancelled
PO000283,SUP003,PRO00104,88,11-06-2023,03-07-2023,Delivered
PO000284,SUP026,PRO00005,334,09-04-2025,29-05-2025,Delayed
PO000285,SUP020,SKU00159,106,22-08-2025,29-09-2025,In Transit
PO000286,SUP022,ITM00033,109,05-04-2024,20-06-2024,Cancelled
PO000287,SUP030,SKU00057,499,30-10-2024,19-11-2024,Pending
PO000288,SUP024,PRO00052,358,07-01-2023,23-01-2023,Delayed
PO000289,SUP005,ITM00036,521,10-03-2023,29-04-2023,Delivered
PO000290,SUP013,ITM00071,335,13-07-2024,23-08-2024,Pending
PO000291,SUP028,SKU00159,251,20-09-2025,10-10-2025,Cancelled
PO000292,SUP030,PRO00180,139,01-01-2024,10-01-2024,Delivered
PO000293,SUP001,PROD00084,339,23-06-2023,05-07-2023,In Transit
PO000294,SUP021,SKU00120,138,06-03-2024,14-04-2024,Delayed
PO000295,SUP006,SKU00142,74,03-05-2025,22-06-2025,Pending
PO000296,SUP029,PROD00129,339,26-04-2024,07-06-2024,Cancelled 
PO000297,SUP018,SKU00181,478,04-12-2023,11-12-2023,Cancelled
PO000298,SUP015,SKU00067,76,18-09-2024,01-11-2024,Delivered
PO000299,SUP019,SKU00152,116,02-01-2025,19-01-2025,Pending
PO000300,SUP022,PRO00144,69,13-10-2023,09-11-2023,Delivered
PO000301,SUP030,SKU00082,153,09-01-2024,20-01-2024,Pending 
PO000302,SUP001,SKU00154,316,24-05-2025,14-06-2025,Delayed
PO000303,SUP013,PRO00068,244,17-03-2025,31-03-2025,Cancelled
PO000304,SUP019,PRO00133,295,04-04-2025,16-05-2025,Delivered
PO000305,SUP002,SKU00124,407,14-07-2025,27-07-2025,Delivered
PO000306,SUP015,PROD00084,546,25-07-2023,06-09-2023,Pending
PO000307,SUP027,PRO00157,282,08-04-2024,22-05-2024,In Transit
PO000308,SUP017,PROD00187,99,26-04-2025,26-05-2025,In Transit
PO000309,SUP004,SKU00143,421,19-10-2024,17-11-2024,
PO000310,SUP021,PROD00073,440,14-10-2023,28-11-2023,Pending
PO000311,SUP004,SKU00035,218,26-02-2024,30-03-2024,Delayed
PO000312,SUP021,SKU00190,453,06-12-2024,04-01-2025,Pending
PO000313,SUP016,PROD00080,403,02-05-2024,14-05-2024,Cancelled
PO000314,SUP027,ITM00166,128,23-02-2024,20-03-2024, Cancelled 
PO000315,SUP019,PROD00178,449,09-10-2024,01-11-2024,In Transit
PO000316,SUP021,PROD00102,404,29-01-2023,14-02-2023,In Transit
PO000317,SUP008,SKU00094,188,12-01-2023,04-02-2023,Pending
PO000318,SUP025,SKU00083,283,13-09-2024,07-10-2024,Cancelled
PO000319,SUP013,SKU00179,470,28-03-2023,08-04-2023,Delivered
PO000320,SUP020,PROD00008,550,16-03-2024,27-03-2024,Pending
PO000321,SUP028,PROD00185,286,09-04-2025,22-05-2025,Cancelled
PO000322,SUP024,ITM00128,313,04-05-2025,17-06-2025,Pending
PO000323,SUP015,ITM00021,87,10-08-2024,29-08-2024,In Transit
PO000324,SUP026,PROD00165,405,06-09-2023,30-09-2023,Cancelled
PO000325,SUP012,SKU00141,166,07-01-2025,12-01-2025,In Transit
PO000326,SUP021,PRO00092,283,06-05-2024,25-05-2024,Pending
PO000327,SUP017,PRO00052,534,30-08-2024,12-09-2024,Cancelled
PO000328,SUP030,PRO00156,523,04-06-2025,24-04-2025,Cancelled
PO000329,SUP023,SKU00138,465,30-07-2024,20-08-2024,Cancelled
PO000330,SUP021,ITM00034,,10-11-2023,30-11-2023,Delayed
PO000331,SUP004,ITM00112,200,07-01-2025,19-01-2025,Delivered
PO000332,SUP025,PROD00185,526,16-08-2025,05-10-2025,Delivered
PO000333,SUP006,SKU00142,532,15-01-2023,24-02-2023,Pending
PO000334,SUP002,PRO00017,325,09-07-2024,26-08-2024,Pending
PO000335,SUP026,SKU00083,90,06-06-2024,18-06-2024,Delayed
PO000336,SUP015,PRO00195,174,03-05-2024,21-05-2024,Delivered
PO000337,SUP014,ITM00023,158,19-01-2024,12-02-2024,Delayed
PO000338,SUP027,ITM00176,242,05-01-2025,26-01-2025,Delivered
PO000339,SUP015,ITM00110,399,24-09-2023,09-11-2023,Cancelled
PO000340,SUP010,ITM00200,327,01-09-2025,09-09-2025,Delivered
PO000341,SUP004,PROD00121,67,31-12-2024,15-02-2025,In Transit
PO000342,SUP030,SKU00140,259,15-12-2023,30-01-2024,Delivered
PO000343,SUP003,PROD00049,287,24-01-2023,23-02-2023,Cancelled
PO000344,SUP021,ITM00200,167,01-05-2023,22-05-2023,Cancelled
PO000345,SUP019,PROD00075,377,20-08-2023,10-09-2023,Delivered
PO000346,SUP005,PRO00038,495,08-11-2024,16-12-2024,Delivered
PO000347,SUP016,PRO00193,165,14-01-2025,15-02-2025,Cancelled
PO000348,SUP016,SKU00169,398,15-05-2023,26-05-2023,In Transit
PO000349,SUP004,PRO00066,176,18-04-2023,30-05-2023,In Transit
PO000350,SUP009,PRO00037,274,07-02-2025,07-03-2025,Cancelled
PO000351,SUP001,PRO00137,120,31-08-2024,17-10-2024,In Transit
PO000352,SUP022,ITM00077,241,25-03-2023,09-04-2023,Delayed
PO000353,SUP024,PRO00076,524,26-11-2024,11-12-2024,Delayed
PO000354,SUP012,SKU00067,490,13-02-2025,09-03-2025,Delayed
PO000355,SUP012,PROD00044,219,15-12-2024,30-01-2025,In Transit
PO000356,SUP001,PRO00095,195,07-04-2023,05/19/2023,In Transit
PO000357,SUP006,ITM00091,151,25-04-2025,29-05-2025,In Transit
PO000358,SUP005,SKU00089,475,17-06-2025,17-07-2025,Cancelled
PO000359,SUP030,ITM00172,98,23-03-2024,03-05-2024,In Transit
PO000360,SUP001,PROD00165,180,17-06-2023,22-06-2023,Pending
PO000361,SUP004,PRO00100,174,03-08-2023,16-09-2023,In Transit
PO000362,SUP023,PRO00055,378,03-07-2023,09-08-2023,Cancelled
PO000363,SUP027,PROD00004,322,04-12-2023,13-01-2024,Cancelled
PO000364,SUP008,SKU00069,320,20-01-2023,26-01-2023,Delivered
PO000365,SUP005,PRO00039,492,20-11-2024,25-11-2024,Delayed
PO000366,SUP029,PROD00006,148,26-03-2024,14-05-2024,
PO000367,SUP004,ITM00023,526,18-07-2024,11-08-2024,Pending
PO000368,SUP013,PROD00073,66,02-08-2025,14-08-2025,Delayed
PO000369,SUP001,PROD00075,50,04-10-2024,10-11-2024,Delayed
PO000370,SUP026,ITM00096,122,17-06-2025,25-06-2025,Pending
PO000371,SUP002,SKU00130,379,02-02-2025,05-03-2025,Pending
PO000372,SUP009,ITM00023,102,07-02-2023,19-03-2023,Cancelled
PO000373,SUP027,ITM00077,345,25-09-2024,22-10-2024,Cancelled
PO000374,SUP023,PRO00087,270,04-05-2024,22-06-2024,Pending
PO000375,SUP002,PRO00183,520,07-03-2025,24-03-2025,Delivered
PO000376,SUP023,PRO00064,393,04-10-2023,21-11-2023,Delivered
PO000377,SUP004,ITM00033,161,01-04-2024,20-04-2024,Delayed
PO000378,SUP011,SKU00072,137,25-04-2023,30-04-2023,Delivered
PO000379,SUP001,PRO00085,443,26-08-2024,04-09-2024,Cancelled
